STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,ind_type,Individual type,indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,16.05,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BGT3,Last online purchase: more than 3 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,14.63,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2020,,81.13,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2021,,75.24,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2022,,75.93,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2023,,76.69,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2024,,77.47,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BLT12,Last online purchase: in the 12 months,PC_IND,Percentage of individuals,DE,Germany,2025,,80.67,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2020,,74.03,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2021,,69.13,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2022,,66.80,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2023,,67.47,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2024,,66.75,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BUY3,Last online purchase: in the last 3 months,PC_IND,Percentage of individuals,DE,Germany,2025,,70.27,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2020,,7.52,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2021,,7.02,,b,break in time series,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2022,,9.95,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2023,,9.96,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2024,,11.12,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_B3_12,Last online purchase: between 3 and 12 months ago,PC_IND,Percentage of individuals,DE,Germany,2025,,10.97,,,,,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,IND_TOTAL,All individuals,I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2020,,26.97,,,,,
